gene_name,start,end,seqname,region
DDOST,20651767,20661544,chr1,chr_1_loc_20500000
KIF17,20664014,20718017,chr1,chr_1_loc_20500000
SH2D5,20719731,20732837,chr1,chr_1_loc_20500000
NBPF3,21440128,21485005,chr1,chr_1_loc_21250000
ALPL,21509397,21578410,chr1,chr_1_loc_21500000
ENSG00000289715,21547404,21554002,chr1,chr_1_loc_21500000
RAP1GAP,21596221,21669357,chr1,chr_1_loc_21500000
LDLRAD2,21812265,21825225,chr1,chr_1_loc_21750000
HSPG2,21822244,21937310,chr1,chr_1_loc_21750000
CELA3B,21977022,21998642,chr1,chr_1_loc_21750000
CELA3A,22001657,22012542,chr1,chr_1_loc_22000000
ENSG00000289694,22025142,22092943,chr1,chr_1_loc_22000000
CDC42,22052627,22101360,chr1,chr_1_loc_22000000
WNT4,22117313,22143969,chr1,chr_1_loc_22000000
EPHA8,22563489,22603595,chr1,chr_1_loc_22500000
C1QA,22635077,22639678,chr1,chr_1_loc_22500000
ENSG00000289692,22636506,22644067,chr1,chr_1_loc_22500000
C1QC,22643014,22648110,chr1,chr_1_loc_22500000
C1QB,22652762,22661637,chr1,chr_1_loc_22500000
LACTBL1,22953043,22972866,chr1,chr_1_loc_22750000
TEX46,23010834,23019100,chr1,chr_1_loc_23000000
KDM1A,23019443,23083689,chr1,chr_1_loc_23000000
LUZP1,23084030,23177808,chr1,chr_1_loc_23000000
HTR1D,23191895,23217502,chr1,chr_1_loc_23000000
HNRNPR,23303771,23344336,chr1,chr_1_loc_23250000
ZNF436,23359448,23369836,chr1,chr_1_loc_23250000
TCEA3,23380909,23424748,chr1,chr_1_loc_23250000
ASAP3,23428563,23484568,chr1,chr_1_loc_23250000
E2F2,23506438,23531233,chr1,chr_1_loc_23500000
ID3,23557926,23559501,chr1,chr_1_loc_23500000
RPL11,23691742,23696835,chr1,chr_1_loc_23500000
PITHD1,23778418,23788232,chr1,chr_1_loc_23750000
LYPLA2,23791145,23795539,chr1,chr_1_loc_23750000
GALE,23795599,23800781,chr1,chr_1_loc_23750000
HMGCL,23801885,23838620,chr1,chr_1_loc_23750000
FUCA1,23845077,23868290,chr1,chr_1_loc_23750000
CNR2,23870515,23913362,chr1,chr_1_loc_23750000
PNRC2,23956839,23963462,chr1,chr_1_loc_23750000
SRSF10,23964347,23980927,chr1,chr_1_loc_23750000
MYOM3,24056035,24112135,chr1,chr_1_loc_24000000
IL22RA1,24119771,24143140,chr1,chr_1_loc_24000000
IFNLR1,24154168,24187959,chr1,chr_1_loc_24000000
STPG1,24356999,24416934,chr1,chr_1_loc_24250000
NIPAL3,24415802,24472976,chr1,chr_1_loc_24250000
RCAN3,24502351,24541040,chr1,chr_1_loc_24500000
NCMAP,24556087,24609328,chr1,chr_1_loc_24500000
SRRM1,24631716,24673281,chr1,chr_1_loc_24500000
RUNX3,24899511,24965121,chr1,chr_1_loc_24750000
SYF2,25222276,25232502,chr1,chr_1_loc_25000000
RHD,25272393,25330445,chr1,chr_1_loc_25250000
TMEM50A,25338317,25362361,chr1,chr_1_loc_25250000
RHCE,25362249,25430192,chr1,chr_1_loc_25250000
LDLRAP1,25543606,25568886,chr1,chr_1_loc_25500000
SELENON,25800193,25818221,chr1,chr_1_loc_25750000
ENSG00000255054,25811470,25823744,chr1,chr_1_loc_25750000
MTFR1L,25818640,25832942,chr1,chr_1_loc_25750000
AUNIP,25831913,25859458,chr1,chr_1_loc_25750000
PAQR7,25861484,25875708,chr1,chr_1_loc_25750000
STMN1,25884181,25906991,chr1,chr_1_loc_25750000
PAFAH2,25959767,25998117,chr1,chr_1_loc_25750000
EXTL1,26019884,26036464,chr1,chr_1_loc_26000000
SLC30A2,26037252,26046118,chr1,chr_1_loc_26000000
TRIM63,26051301,26068436,chr1,chr_1_loc_26000000
PDIK1L,26111165,26125555,chr1,chr_1_loc_26000000
FAM110D,26159079,26163962,chr1,chr_1_loc_26000000
C1orf232,26164101,26168963,chr1,chr_1_loc_26000000
ZNF593OS,26169516,26171832,chr1,chr_1_loc_26000000
ZNF593,26169908,26170873,chr1,chr_1_loc_26000000
CNKSR1,26177484,26189884,chr1,chr_1_loc_26000000
CATSPER4,26190561,26202968,chr1,chr_1_loc_26000000
SH3BGRL3,26280086,26281522,chr1,chr_1_loc_26250000
UBXN11,26281328,26318363,chr1,chr_1_loc_26250000
CD52,26317958,26320523,chr1,chr_1_loc_26250000
CRYBG2,26321698,26360080,chr1,chr_1_loc_26250000
ZNF683,26361634,26374522,chr1,chr_1_loc_26250000
LIN28A,26410817,26429728,chr1,chr_1_loc_26250000
DHDDS,26432282,26471306,chr1,chr_1_loc_26250000
HMGN2,26472440,26476642,chr1,chr_1_loc_26250000
RPS6KA1,26529761,26575030,chr1,chr_1_loc_26500000
PIGV,26787054,26800659,chr1,chr_1_loc_26750000
ZDHHC18,26826688,26857604,chr1,chr_1_loc_26750000
SFN,26863149,26864456,chr1,chr_1_loc_26750000
GPN2,26876132,26890283,chr1,chr_1_loc_26750000
GPATCH3,26890488,26900467,chr1,chr_1_loc_26750000
NUDC,26900238,26946871,chr1,chr_1_loc_26750000
NR0B2,26911489,26913975,chr1,chr_1_loc_26750000
KDF1,26949562,26960468,chr1,chr_1_loc_26750000
TENT5B,27005020,27012850,chr1,chr_1_loc_27000000
SLC9A1,27098809,27166981,chr1,chr_1_loc_27000000
TMEM222,27322145,27336400,chr1,chr_1_loc_27250000
SYTL1,27342020,27353937,chr1,chr_1_loc_27250000
MAP3K6,27355184,27366961,chr1,chr_1_loc_27250000
FCN3,27369110,27374824,chr1,chr_1_loc_27250000
CD164L2,27379176,27383333,chr1,chr_1_loc_27250000
GPR3,27392622,27395814,chr1,chr_1_loc_27250000
WASF2,27404230,27490167,chr1,chr_1_loc_27250000
AHDC1,27534035,27604431,chr1,chr_1_loc_27500000
FGR,27612064,27635185,chr1,chr_1_loc_27500000
IFI6,27666064,27672212,chr1,chr_1_loc_27500000
STX12,27773219,27824443,chr1,chr_1_loc_27750000
PPP1R8,27830782,27851676,chr1,chr_1_loc_27750000
THEMIS2,27872543,27886685,chr1,chr_1_loc_27750000
RPA2,27891524,27914746,chr1,chr_1_loc_27750000
SMPDL3B,27935000,27959157,chr1,chr_1_loc_27750000
XKR8,27959588,27968093,chr1,chr_1_loc_27750000
PTAFR,28147166,28193936,chr1,chr_1_loc_28000000
DNAJC8,28199456,28233029,chr1,chr_1_loc_28000000
ATP5IF1,28236109,28246906,chr1,chr_1_loc_28000000
SESN2,28259518,28282491,chr1,chr_1_loc_28250000
MED18,28329002,28335965,chr1,chr_1_loc_28250000
RCC1,28505943,28539300,chr1,chr_1_loc_28500000
TRNAU1AP,28553085,28578545,chr1,chr_1_loc_28500000
TAF12,28587829,28648291,chr1,chr_1_loc_28500000
RAB42,28592200,28595449,chr1,chr_1_loc_28500000
GMEB1,28668778,28719353,chr1,chr_1_loc_28500000
OPRD1,28812170,28871267,chr1,chr_1_loc_28750000
TMEM200B,29119429,29123903,chr1,chr_1_loc_29000000
SRSF4,29147743,29181900,chr1,chr_1_loc_29000000
MECR,29192657,29230942,chr1,chr_1_loc_29000000
ENSG00000289710,30576655,30576825,chr1,chr_1_loc_30500000
MATN1,30711277,30723585,chr1,chr_1_loc_30500000
SDC3,30869466,30908758,chr1,chr_1_loc_30750000
NKAIN1,31179745,31239887,chr1,chr_1_loc_31000000
SNRNP40,31259568,31296788,chr1,chr_1_loc_31250000
ZCCHC17,31296982,31364953,chr1,chr_1_loc_31250000
FABP3,31365253,31376850,chr1,chr_1_loc_31250000
SERINC2,31409565,31434680,chr1,chr_1_loc_31250000
TINAGL1,31576485,31587686,chr1,chr_1_loc_31500000
HCRTR1,31617686,31632518,chr1,chr_1_loc_31500000
PEF1,31629866,31644896,chr1,chr_1_loc_31500000
COL16A1,31652263,31704319,chr1,chr_1_loc_31500000
SPOCD1,31790422,31816022,chr1,chr_1_loc_31750000
PTP4A2,31906421,31944856,chr1,chr_1_loc_31750000
ENSG00000288678,31919563,31938010,chr1,chr_1_loc_31750000
KHDRBS1,32013868,32060850,chr1,chr_1_loc_32000000
TMEM39B,32072031,32102866,chr1,chr_1_loc_32000000
KPNA6,32108056,32176563,chr1,chr_1_loc_32000000
TXLNA,32179675,32198285,chr1,chr_1_loc_32000000
CCDC28B,32200595,32205453,chr1,chr_1_loc_32000000
IQCC,32205671,32208682,chr1,chr_1_loc_32000000
DCDC2B,32209089,32216192,chr1,chr_1_loc_32000000
TMEM234,32214472,32222359,chr1,chr_1_loc_32000000
EIF3I,32221077,32245397,chr1,chr_1_loc_32000000
FAM167B,32247222,32248856,chr1,chr_1_loc_32000000
LCK,32251244,32286165,chr1,chr_1_loc_32250000
HDAC1,32292083,32333635,chr1,chr_1_loc_32250000
MARCKSL1,32333839,32336233,chr1,chr_1_loc_32250000
TSSK3,32351521,32364312,chr1,chr_1_loc_32250000
FAM229A,32361270,32364278,chr1,chr_1_loc_32250000
BSDC1,32364633,32394731,chr1,chr_1_loc_32250000
ZBTB8B,32465072,32496686,chr1,chr_1_loc_32250000
ZBTB8A,32539427,32605941,chr1,chr_1_loc_32500000
ZBTB8OS,32600172,32650903,chr1,chr_1_loc_32500000
RBBP4,32651142,32686211,chr1,chr_1_loc_32500000
SYNC,32679906,32703596,chr1,chr_1_loc_32500000
YARS1,32775237,32818031,chr1,chr_1_loc_32750000
S100PBP,32816767,32858875,chr1,chr_1_loc_32750000
FNDC5,32862268,32872482,chr1,chr_1_loc_32750000
HPCA,32885994,32898441,chr1,chr_1_loc_32750000
TMEM54,32894594,32901438,chr1,chr_1_loc_32750000
RNF19B,32936445,32964809,chr1,chr_1_loc_32750000
AK2,33007986,33080996,chr1,chr_1_loc_33000000
AZIN2,33081104,33123492,chr1,chr_1_loc_33000000
TRIM62,33145399,33182059,chr1,chr_1_loc_33000000
ZNF362,33256492,33300719,chr1,chr_1_loc_33250000
A3GALT2,33306766,33321098,chr1,chr_1_loc_33250000
PHC2,33323623,33431095,chr1,chr_1_loc_33250000
HMGB4,33860475,33864791,chr1,chr_1_loc_33750000
C1orf94,34166883,34219131,chr1,chr_1_loc_34000000
GJB5,34755047,34758512,chr1,chr_1_loc_34750000
GJB4,34759740,34762327,chr1,chr_1_loc_34750000
GJB3,34781214,34786369,chr1,chr_1_loc_34750000
GJA4,34792999,34795747,chr1,chr_1_loc_34750000
DLGAP3,34865436,34929650,chr1,chr_1_loc_34750000
ENSG00000284773,34974356,34985313,chr1,chr_1_loc_34750000
TMEM35B,34981380,34985347,chr1,chr_1_loc_34750000
ZMYM1,35032172,35115859,chr1,chr_1_loc_35000000
SFPQ,35176378,35193446,chr1,chr_1_loc_35000000
ZMYM4,35268709,35422058,chr1,chr_1_loc_35250000
NCDN,35557473,35567274,chr1,chr_1_loc_35500000
TFAP2E,35573314,35595328,chr1,chr_1_loc_35500000
PSMB2,35599541,35641526,chr1,chr_1_loc_35500000
C1orf216,35713877,35718894,chr1,chr_1_loc_35500000
AGO4,35808016,35857890,chr1,chr_1_loc_35750000
AGO1,35869808,35930532,chr1,chr_1_loc_35750000
TEKT2,36084094,36088275,chr1,chr_1_loc_36000000
ADPRS,36088892,36093932,chr1,chr_1_loc_36000000
COL8A2,36095239,36125222,chr1,chr_1_loc_36000000
TRAPPC3,36136570,36156053,chr1,chr_1_loc_36000000
MAP7D1,36155579,36180849,chr1,chr_1_loc_36000000
SH3D21,36306368,36329340,chr1,chr_1_loc_36250000
EVA1B,36322030,36324154,chr1,chr_1_loc_36250000
STK40,36339624,36385924,chr1,chr_1_loc_36250000
LSM10,36391238,36397908,chr1,chr_1_loc_36250000
OSCP1,36415827,36450451,chr1,chr_1_loc_36250000
MRPS15,36455718,36464384,chr1,chr_1_loc_36250000
CSF3R,36466043,36483278,chr1,chr_1_loc_36250000
ZC3H12A,37474580,37484377,chr1,chr_1_loc_37250000
SNIP1,37534449,37554293,chr1,chr_1_loc_37500000
DNALI1,37556919,37566857,chr1,chr_1_loc_37500000
GNL2,37566816,37595937,chr1,chr_1_loc_37500000
RSPO1,37611350,37634892,chr1,chr_1_loc_37500000
C1orf109,37681570,37692249,chr1,chr_1_loc_37500000
CDCA8,37692481,37709719,chr1,chr_1_loc_37500000
MANEAL,37793847,37801137,chr1,chr_1_loc_37750000
YRDC,37802945,37808208,chr1,chr_1_loc_37750000
C1orf122,37806979,37809454,chr1,chr_1_loc_37750000
MTF1,37809574,37859592,chr1,chr_1_loc_37750000
INPP5B,37860697,37947053,chr1,chr_1_loc_37750000
SF3A3,37956975,37990075,chr1,chr_1_loc_37750000
UTP11,38009258,38024820,chr1,chr_1_loc_38000000
POU3F1,38043829,38046793,chr1,chr_1_loc_38000000
RRAGC,38838198,38859772,chr1,chr_1_loc_38750000
MYCBP,38862493,38873368,chr1,chr_1_loc_38750000
ENSG00000274944,38864501,38881617,chr1,chr_1_loc_38750000
GJA9,38874069,38881587,chr1,chr_1_loc_38750000
RHBDL2,38885807,38941830,chr1,chr_1_loc_38750000
NDUFS5,39026318,39034636,chr1,chr_1_loc_39000000
PABPC4,39560709,39576790,chr1,chr_1_loc_39500000
HEYL,39623435,39639643,chr1,chr_1_loc_39500000
NT5C1A,39651229,39672107,chr1,chr_1_loc_39500000
HPCAL4,39678648,39691485,chr1,chr_1_loc_39500000
BMP8B,39757182,39788865,chr1,chr_1_loc_39750000
OXCT2,39769523,39771348,chr1,chr_1_loc_39750000
TRIT1,39838110,39883511,chr1,chr_1_loc_39750000
MYCL,39895428,39902256,chr1,chr_1_loc_39750000
MFSD2A,39955112,39969968,chr1,chr_1_loc_39750000
CAP1,40040233,40072649,chr1,chr_1_loc_40000000
PPT1,40072710,40097260,chr1,chr_1_loc_40000000
RLF,40161387,40240921,chr1,chr_1_loc_40000000
ZMPSTE24,40258041,40294180,chr1,chr_1_loc_40250000
